Titles,Descriptions,Ids,Pub_year,Article_links,Year,Keyword
Knowledge of Pregnancy and Its Danger Signs Not Improved by Maternal and Child Health Handbook.,,31178636,,https://pubmed.ncbi.nlm.nih.gov/31178636/,2018,danger
Danger zone of radial nerve in Indian population - A cadaveric study.,,31061584,,https://pubmed.ncbi.nlm.nih.gov/31061584/,2018,danger
"Danger, Will Robinson!",,31043920,,https://pubmed.ncbi.nlm.nih.gov/31043920/,2018,danger
Teething necklaces and bracelets pose significant danger to infants and toddlers.,,30996608,,https://pubmed.ncbi.nlm.nih.gov/30996608/,2018,danger
Psychotropics in medical students: A latent danger.,,30981328,,https://pubmed.ncbi.nlm.nih.gov/30981328/,2018,danger
Is forensic science in danger of extinction?,,30798869,,https://pubmed.ncbi.nlm.nih.gov/30798869/,2018,danger
Commentary: Straight into the heart of danger: Central aortic cannulation for aortic dissection.,,30661811,,https://pubmed.ncbi.nlm.nih.gov/30661811/,2018,danger
"Parents' Knowledge of Danger Signs and Health Seeking Behavior in Newborn and Young Infant Illness in Tiro Afeta District, Southwest Ethiopia: A Community-based Study.",,30607060,,https://pubmed.ncbi.nlm.nih.gov/30607060/,2018,danger
Mothers treatment seeking intention for neonatal danger signs in northwest Ethiopia: A structural equation modeling.,,30596745,,https://pubmed.ncbi.nlm.nih.gov/30596745/,2018,danger
"The role of neighborhoods in household food insufficiency: Considering interactions between physical disorder, low social capital, violence, and perceptions of danger.",,30557777,,https://pubmed.ncbi.nlm.nih.gov/30557777/,2018,danger
"Coercive Control in Intimate Partner Violence: Relationship with Women's Experience of Violence, Use of Violence, and Danger.",,30555730,,https://pubmed.ncbi.nlm.nih.gov/30555730/,2018,danger
Danger signals activate a putative innate immune system during regeneration in a filamentous fungus.,,30500812,,https://pubmed.ncbi.nlm.nih.gov/30500812/,2018,danger
"Antenatal care utilization increase the odds of women knowledge on neonatal danger sign: a community-based study, eastern Ethiopia.",,30497525,,https://pubmed.ncbi.nlm.nih.gov/30497525/,2018,danger
The Danger of a single story about forensic humanitarianism.,,30471485,,https://pubmed.ncbi.nlm.nih.gov/30471485/,2018,danger
"Sensing danger through a ""finger"".",,30459157,,https://pubmed.ncbi.nlm.nih.gov/30459157/,2018,danger
Why do farm accidents persist? Normalising danger on the farm within the farm family.,,30450605,,https://pubmed.ncbi.nlm.nih.gov/30450605/,2018,danger
The aorta in repaired tetralogy of Fallot: A potential source of late danger?,,30449580,,https://pubmed.ncbi.nlm.nih.gov/30449580/,2018,danger
The Danger Signal Extracellular ATP Is Involved in the Immunomediated Damage of α-Sarcoglycan-Deficient Muscular Dystrophy.,,30448410,,https://pubmed.ncbi.nlm.nih.gov/30448410/,2018,danger
A Brush with Danger.,,30443635,,https://pubmed.ncbi.nlm.nih.gov/30443635/,2018,danger
Findings from Healthcare in Danger Project: Pakistan security assessment of a public and private tertiary care hospital in Karachi: Gaps and way forward.,,30410148,,https://pubmed.ncbi.nlm.nih.gov/30410148/,2018,danger
Imminent danger:: Characterizing uncertainty in critically hazardous mining situations.,,30397364,,https://pubmed.ncbi.nlm.nih.gov/30397364/,2018,danger
Phosphatidylglycerol Inhibits Toll-Like Receptor-Mediated Inflammation by Danger-Associated Molecular Patterns.,,30391260,,https://pubmed.ncbi.nlm.nih.gov/30391260/,2018,danger
Exogenous nanoparticles and endogenous crystalline molecules as danger signals for the NLRP3 inflammasomes.,,30370619,,https://pubmed.ncbi.nlm.nih.gov/30370619/,2018,danger
The danger zone: Injuries and conditions associated with immediately fatal motorcycle crashes in the state of Michigan.,,30352664,,https://pubmed.ncbi.nlm.nih.gov/30352664/,2018,danger
Subclinical hypothyroidism or central hypothyroidism-The danger of thyroid function misinterpretation.,,30349705,,https://pubmed.ncbi.nlm.nih.gov/30349705/,2018,danger
The Invisible Danger of Transferring Toxins with Bunker Gear: A Theory-Based Intervention to Increase Postfire Decontamination to Reduce Cancer Risk in Firefighters.,,30346894,,https://pubmed.ncbi.nlm.nih.gov/30346894/,2018,danger
Hidden diagnosis behind viral infection: the danger of anchoring bias.,,30344151,,https://pubmed.ncbi.nlm.nih.gov/30344151/,2018,danger
A friendly danger.,,30337399,,https://pubmed.ncbi.nlm.nih.gov/30337399/,2018,danger
"Pediatric Lawn-Mower Injuries: We Need to Change Course to Make a Difference: Commentary on an article by Amanda Nicole Fletcher, MD, MSCR, et al.: Pediatric Lawn-Mower Injuries Presenting at a Level-I Trauma Center, 1995 to 2015. A Danger to Our Youngest Children",,30334895,,https://pubmed.ncbi.nlm.nih.gov/30334895/,2018,danger
"Pediatric Lawn-Mower Injuries Presenting at a Level-I Trauma Center, 1995 to 2015: A Danger to Our Youngest Children.",,30334881,,https://pubmed.ncbi.nlm.nih.gov/30334881/,2018,danger
The infraorbital artery: Clinical relevance in esthetic medicine and identification of danger zones of the midface.,,30327185,,https://pubmed.ncbi.nlm.nih.gov/30327185/,2018,danger
Perceptions and practices among married women of child bearing age regarding obstetric danger signs in rural Islamabad: A qualitative study.,,30317349,,https://pubmed.ncbi.nlm.nih.gov/30317349/,2018,danger
"The real ""danger"" lies in the failure to confront fundamentals.",,30311672,,https://pubmed.ncbi.nlm.nih.gov/30311672/,2018,danger
Estimation of Driver's Danger Level when Accessing the Center Console for Safe Driving.,,30309040,,https://pubmed.ncbi.nlm.nih.gov/30309040/,2018,danger
Danger-Associated Molecular Patterns (DAMPs): Molecular Triggers for Sterile Inflammation in the Liver.,,30309020,,https://pubmed.ncbi.nlm.nih.gov/30309020/,2018,danger
Endocrine disruptor compounds in environment: As a danger for children health.,,30300430,,https://pubmed.ncbi.nlm.nih.gov/30300430/,2018,danger
Micro-CT analysis of danger zone thickness in the mesiobuccal roots of maxillary first molars.,,30295947,,https://pubmed.ncbi.nlm.nih.gov/30295947/,2018,danger
The internal anatomy of danger zone of mandibular molars: A cone-beam computed tomography study.,,30294106,,https://pubmed.ncbi.nlm.nih.gov/30294106/,2018,danger
Airborne acquisition of Pneumocystis in bronchoscopy units: a hidden danger to healthcare workers.,,30289486,,https://pubmed.ncbi.nlm.nih.gov/30289486/,2018,danger
Danger-Associated Molecular Patterns (DAMPs): the Derivatives and Triggers of Inflammation.,,30267163,,https://pubmed.ncbi.nlm.nih.gov/30267163/,2018,danger
The hidden danger: Silent celiac disease.,,30260773,,https://pubmed.ncbi.nlm.nih.gov/30260773/,2018,danger
Danger in Shopping Centres - A Study on Escalator-Related Injuries in Children in Singapore.,,30242303,,https://pubmed.ncbi.nlm.nih.gov/30242303/,2018,danger
Vehicle Danger and Older Pedestrian Safety.,,30241618,,https://pubmed.ncbi.nlm.nih.gov/30241618/,2018,danger
Percutaneous pleural drainage in patients taking clopidogrel: real danger or phantom fear?,,30233893,,https://pubmed.ncbi.nlm.nih.gov/30233893/,2018,danger
"[France, a refuge for researchers in danger].",,30230469,,https://pubmed.ncbi.nlm.nih.gov/30230469/,2018,danger
"In Response to ""Normalization of Plus Size and the Danger of Unseen Overweight and Obesity in England"".",,30212596,,https://pubmed.ncbi.nlm.nih.gov/30212596/,2018,danger
Recent advances in the Giardia-host relationship reveal danger lurking behind the smile.,,30188894,,https://pubmed.ncbi.nlm.nih.gov/30188894/,2018,danger
The underestimated danger of E-cigarettes - also in the absence of nicotine.,,30157845,,https://pubmed.ncbi.nlm.nih.gov/30157845/,2018,danger
Vitamin A distribution in danger: should we worry?,,30152336,,https://pubmed.ncbi.nlm.nih.gov/30152336/,2018,danger
Vitamin A distribution in danger: should we worry?,,30152335,,https://pubmed.ncbi.nlm.nih.gov/30152335/,2018,danger
Trait anxiety and the alignment of attentional bias with controllability of danger.,,30132194,,https://pubmed.ncbi.nlm.nih.gov/30132194/,2018,danger
Animal Communication: Learning by Listening about Danger.,,30130514,,https://pubmed.ncbi.nlm.nih.gov/30130514/,2018,danger
Local and systemic levels of cytokines and danger signals in endometriosis-affected women.,,30099220,,https://pubmed.ncbi.nlm.nih.gov/30099220/,2018,danger
